ORIGINURI,ID,UUIDHISTORY,SKILLTYPE,REUSELEVEL,PREFERREDLABEL,ALTLABELS,DESCRIPTION,DEFINITION,SCOPENOTE
http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3,key_1274,c4622381-636a-4c70-a726-e65a5ee134bc,skill/competence,sector-specific,perform street interventions in social work,"perform street interventions in social work
do street interventions in social work
perform street-intervention in social work
perform street intervention in social-work
perform street-intervention in social-work
conduct outreach activites
carry out street interventions in social work","Conduct outreach activities by providing direct information or counselling services to individuals in their neighbourhood or in the streets, usually targeted at youth or homeless people.",,
http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330,key_1275,30f15d81-655b-4928-b2c4-3476cdf34d15,skill/competence,sector-specific,work with soloists,"collaborate with soloists
working with soloists
work with a soloist
work with soloists
communicate with solo artists",Communicate with solo artists and concert masters to discuss and prepare for performances.,,
http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,key_1276,d0e67cc4-e2ad-412f-bbb8-c33ee3825903,knowledge,cross-sector,sport and exercise medicine,"sports injury treatment
sport and exercise medicine
sports medicine
exercise and sports medicine
sports injury medicine
sports and exercise medicine",Prevention and treatement of injuries or conditions resulted from a physical activity or sport.,,
http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,key_1277,2fdb014e-db1a-443b-bd8b-c21516289398,skill/competence,sector-specific,conduct research on flora,"carry out research on flora
flora research
conduct research on flora
perform research on flora
run research on flora
research on flora","Collect and analyse data about plants in order to discover their basic aspects such as origin, anatomy, and function.",,
http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,key_1278,34d5e99b-53fe-4438-ba5d-1b1cd7bd4088,skill/competence,cross-sector,install heat pump,"install heat pump
installation of heat pumps
commission heat pumps
heat pump commissioning
installing heat pump
commissioning of heat pump
commission heat pump
heat pump installation
commissioning heat pump
commissioning heat pumps
installing heat pumps
installation of heat pump
commissioning of heat pumps
install heat pumps
heat pump installing","Install heat pumps, which use the physical properties of substances called refrigerants to extract heat from an environment and release it to a warmer environment, counter to spontaneous heat flow. Create the necessary openings and install the indoors and outdoors parts of the heat pump. Connect electricity and any ducts, and configure the heat pump.",,
http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,key_1279,8cb88dd4-8357-43e3-997b-36f4346b0669,skill/competence,sector-specific,design biomass installations,"design biomass installation
design biomass system","Design the biomass energy system. Determine construction boundaries such as needed space and weight. Calculate indicators such as capacity, flow, and temperatures. Make detailed descriptions and drawings of the design.",,
http://data.europa.eu/esco/skill/00831ebb-bac3-4bd1-8dae-2bca67be958d,key_1280,8058b249-f671-4ae9-8639-3c469cdef352,skill/competence,occupation-specific,handle equipment while suspended,"using climbing equipment
equipment handling while suspended
handling of equipment while suspended
use climbing equipment while on a rope
use climbing equipment
using climbing equipment while on a rope
handling equipment while suspended
handle equipment while suspended","Safely operate hand equipment while suspended on a rope. Take on a secure and stable position before starting the operation. After finishing, store the equipment safely, usually by attaching it to a belt buckle.",,
http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9,key_1281,be403315-1662-415c-a032-6a12734514e4,skill/competence,cross-sector,teach housekeeping skills,"teach housekeeping skills
teach house-keeping skills
teach house keeping skills
teach domestic science skills
teach skills for housekeeping
instruct on housekeeping skills
train on housekeeping skills
teach housekeeping skill",Teach housekeeping as well as manual skills aiming to improve everyday tasks and life circumstances.,,
http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0,key_1282,b1191f87-8d71-4e80-87ab-31029bc9c12b,skill/competence,sector-specific,check train engines,"check train engines
check engines on trains meet regulations
check locomotive engines
check engines on locomotives
ensure train engines comply with regulations
ensure compliance of train engines with regulations
perform train engine compliance activities
check engines of trains
ensure train engines meet regulatory requirements
check train engines meet regulations
check engines on trains
ensure train engines comply with applicable regulations",Ensure that train engines comply with regulations before commencing a journey.,,
http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb,key_1283,b56eb4d3-eb32-4c23-80eb-213f12883fd2,skill/competence,cross-sector,influence public policies,lobbying for public policies,Communicate with policymakers and provide them with data to convince them to change legislation or allocate funds to a specific cause.,,
http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e,key_1284,95dc23e2-cb93-4437-88ac-c1d616940846,knowledge,sector-specific,enterprise risk management,ERM,"A plan-based business strategy that aims to identify, assess, and prepare for any dangers, hazards, and other potentials for disaster, both physical and figurative, that may interfere with an organization's operations and objectives. ",,
http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,key_1285,3a6e7812-b1ca-442e-befe-0fb2406ae013,skill/competence,sector-specific,manufacture ingredients,"manufacture ingredients
ingredients manufacture
assemble ingredients
manufacture of ingredients
produce ingredients
construct ingredients
manufacture of an ingredient
fabricate ingredients","Manufacture ingredients such as spices, additives and vegetables.",,
http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb,key_1286,2e79a9ef-4d38-416d-af7b-a2139abae3a5,skill/competence,occupation-specific,maintain aquaculture ponds,"aquaculture pond maintaining
maintaining aquaculture ponds
cleaning aquaculture ponds
aquaculture pond cleaning
aquaculture ponds maintaining
pond maintaining in aquaculture
clean aquaculture ponds
maintain aquaculture ponds
aquaculture ponds cleaning
pond cleaning in aquaculture","Clean equipment and treatment tools. Drain and clean aquaculture ponds using brushes, chemicals, and water. Prepare holding containers for fish and change the nets. Conduct swimthroughs. Stock fish in holding units. Collect dead fish in holding units.",,
